post_id,post_handle,post,post_timestamp
twitter_ff043027c4aa184a,,every time I read shit about abortion it really hurts my feelings. I almost died without one (my baby was already dead I was 6 months) it should always be available for us! for whatever reason... rape / incest / pregnant womans health is in danger / she simply doesnt want a child,
twitter_cc0cbd3094aedb65,,Learning about the fake abortion clinics that target and harass women so they miss their actual appt is so messed up.,
twitter_166720149b1f6891,,"The pro-life agenda is basically a very small issue about abortion; it is more of an ideological movement based on the persecution of women, LGBT people... abortion and the right to life is just a cover for the fight to deprive",
twitter_34afefe387a213a9,,"Got random anti abortion protesters with signs and shit next to my bus stop. Never thought I'd see that in my ""small"" town lmao",
twitter_cfb6a196b265ed91,,"Bernie telling Harris “please focus on the working class, not just on abortion” (verbatim) is unintentionally hilarious.",
twitter_f45b4c1387d7d81d,,Yesterday my father (republican) sent me some dumb as pro-life video celebrating the shutting down of Planned Parenthood in my state. I responded saying that I had to go there after being SA’d and told him about all the services I received. No response.,
twitter_864ef1fa9d96d53b,,“Abortion is good for women” is about as reliable as smoke companies saying “Smoking is good for your health!”,
twitter_a173bee932bf75b3,,"Abortion of potentials is a massacre of purpose. You don’t get the fruit because you killed the seeds!

UNFAIR EVICTION OF AWEZ

Frontline B",
twitter_f589983318d11147,,"If you believe that having an abortion before their is life (i.e. when a heartbeat is not detected) is murder than unplugging someone on life support should also be murder. If we can force a woman to be pregnant, give birth, and than give up the baby...",
twitter_48b57de1f22fa206,,"I am what is known as a benched Catholic and disillusioned by the church doctrine. I believe in things the Catholic Church does not believe in: divorce being one, and a women's right to choose being another. – Kitty Kelley🙂",
twitter_86c30be6086b16fe,,"All men should be feminists. If men care about women’s rights the world will be a better place. We are better off when women are empowered – it leads to a better society.

UNFAIR EVICTION OF AWEZ

Frontline A",
twitter_c97491ba7351aa70,,"It’s obvious American conservatives aren’t pro-life. They’ll force women to give birth but that’s as far as it goes for them

When it comes to the quality of life post-birth. They don’t give a damn. Just look at their stance on being pro-genocide and cutting healthcare",
twitter_cd913fcb3c7d2c78,,Abortion won’t be abolished. It’ll just be less safe until women’s rights are restored and inshrined. There is no shame in abortion.,
twitter_9063ffb9c7c5a28f,,"Classic straw man fallacy: ""Someone who says I’m against abortion but is in favor of the death penalty is not really pro-life.""",
twitter_019ea46e4ee35de7,,"If you follow catholic teaching about abortion on the grounds that it involves taking innocent life, you should also be against war in 2025 since that too involves taking the innocent lives of children and of babies still in their mothers' wombs.",
twitter_ae7c09872bc6fe66,,"The conservatives aren’t using the abortion issue wisely: when the left is willing to abort themselves, it’s an own goal – they just need to think strategically.",
twitter_d38c0c8966c1a7e2,,"""Abortion opponents know full well that the public would not abide putting women in prison en masse. Politically, it's more palatable to portray them as irrational, ignorant, and childlike, perhaps even temporarily insane.""
– Katha Pollitt",
twitter_cbb0b6b3329066bc,,blocking my conservative family from instagram bc what ur NOT ABOUT TO DOOO is argue with me over guns or abortion or human rights…i will NOT BE GASLIT BY MY OWN FAMILY!!! smh freaks,
twitter_72cf4d2146e193c6,,Our reproductive rights are being infringed and this is what these two are choosing to say about the other!! And yall are gagged?!?We are doomed,
twitter_87824e7b28308d9a,,"If you are pro-life on abortion but support the death penalty, you are not pro-life; you are pro-choice.",
