post_id,post_handle,post,post_timestamp
twitter_11e8297d7504a414,,"Abortion is a heart issue and -- as salt and light to a world in need -- change MUST begin in us, church. Talk to your Pastor today about getting involved in the greatest human rights movement on earth.",
twitter_ee6dd0a2fc387a44,,While admitting that there are many aspects to being fully pro-life it does not require much nuance to propose that the right to life haas priority over other life affirming issues.,
twitter_c4729e30219f5485,,"Abortion is not health care. A woman has a right to her body, but that is not her body. What about the baby?

UNFAIR EVICTION OF AWEZ

CZG MARCO D",
twitter_ea19d2c1bbd4db3d,,"Abortion is inherently different from other medical procedures because no other procedure involves the purposeful termination of a potential life.

UNFAIR EVICTION OF AWEZ

Frontline D",
twitter_135cb82e54764618,,All Planned Parenthood locations in Louisiana are being shutdown!! It’s an amazing day for the unborn babies.,
twitter_876cca67783a5ca4,,Cool moment: Saw some people today carrying some 'pray to end abortion signs' outside of a Planned Parenthood clinic in Seattle..! I gave them 2 big thumbs up as we drove by and passed them. Things are happening here! God is on the move..!,
twitter_db811ef9b4fbd2b4,,"“It is amazing how many people who are ‘pro-choice’ when it comes to abortion are against choice when it comes to education. Indeed, that is the official position of the Democratic Party.”

— Thomas Sowell",
twitter_d03986c32df7099c,,"Abortion is an attack on the family and the humanity that unites us all.

UNFAIR EVICTION OF AWEZ

CZG MARCO A",
twitter_1087110540f601db,,"“Men shouldn’t have a say (about abortion)” BUT Biblical Perspective:

Proverbs 31:8–9 — Speak up for those who cannot speak for themselves; ensure justice for those being crushed. Yes, speak up for the poor and helpless, and see that they get justice.",
twitter_dab05e6ff991f1e6,,I don't believe you back off being pro-life: You don't stop being pro-life because they say you're mean because you're pro-life. – Ken Cuccinelli,
twitter_1d17abb055446f39,,F**k off. The Church and all Popes supported capital punishment for centuries. Taking a life requires the that a price must be paid in this life. Abortion has always been considered profoundly evil and wrong.,
twitter_01ee2a186796122b,,I've lost patience for stupid people in here who defend abortion and keep talking in circles. Auto block from now on,
twitter_3b341f025594d2ad,,"New Pope is a moron.

“Someone who says ‘I’m against abortion but says I am in favor of the death penalty’ is not really pro-life”

🤣 

He’s read the Bible right? “Thou shalt not kill” refers to murder. “Eye for an eye” is the punishment for murder (aka death penalty)",
twitter_6f2aceb89a178e61,,"Safe, effective, women’s health, women’s reproductive rights &amp; abortion care are all words the left uses to conceal the act of murdering a baby. Burn in hell.",
twitter_566b6db03c66be4e,,"There is an argument that, in the modern age, the death penalty is no longer necessary. However, that doesn’t mean the death penalty is inherently immoral like abortion. Anyone equating the two is an idiot.",
twitter_d7de4c9be816d0de,,"Christ is King 
All other religions are false 
Homosexuality is an abomination 
America is a Christian Nation 
Abortion is sinful and evil 
Trans people are demonic 
These are My views",
twitter_e916eef42251ec6e,,Gonna start anti-abortion posting in far-right language instead of the useless civil-rights Marxist bullshit talking points everyone else uses.,
twitter_45d045836925cbfe,,Biden mom should have had an abortion because Biden and his family are the most corrupted in American history!!,
twitter_361723d9dab2330b,,Biden mom should have had an abortion because Biden and his family are the most corrupted in American history!,
twitter_5b048148180a5027,,"Abortion is evil.

We must cleanse our country of this vile wickedness, or continue to drink from Satan’s breast.",
